Time (s),Potential (V),Current (uA)
0.0,-0.199853,0.027999876000000003
0.009879557,-0.18964499999999998,0.017499922
0.019759114,-0.179438,0.013999938000000002
0.029638672,-0.16923,0.013999938000000002
0.039518228,-0.159023,0.013999938000000002
0.049397788000000005,-0.148815,0.013999938000000002
0.059277348,-0.13860799999999998,0.013999938000000002
0.069156904,-0.1284,0.013999938000000002
0.079036464,-0.11819199999999999,0.017499922
0.08891602400000001,-0.107985,0.017499922
0.098795584,-0.09777777600000001,0.017499922
0.108675,-0.08757020800000001,0.020999908000000005
0.11855399999999999,-0.077362632,0.020999908000000005
0.128434,-0.067155064,0.020999908000000005
0.138313,-0.056947496,0.024499892000000002
0.148193,-0.046739924,0.027999876000000003
0.158072,-0.036532356,0.027999876000000003
0.167952,-0.026324786000000003,0.03149986
0.177832,-0.016117215,0.034999844
0.187711,-0.005909646,0.03849982800000001
0.197591,0.004297924,0.04199981600000001
0.20747,0.014505494,0.04199981600000001
0.21735,0.024713064,0.04549980000000001
0.227229,0.034920632,0.048999784000000005
0.237109,0.045128204000000005,0.05599975200000001
0.24698799999999999,0.055335776,0.059499736000000004
0.256868,0.065543348,0.06299972
0.266748,0.07575092,0.066499704
0.276627,0.08595848,0.069999688
0.286507,0.096166048,0.07699965600000001
0.296386,0.106373,0.08049964
0.306266,0.11658099999999999,0.087499616
0.316145,0.12678799999999998,0.09449958400000001
0.326025,0.136996,0.09799956800000001
0.335904,0.147203,0.104999
0.345784,0.157411,0.11549899999999999
0.355664,0.167619,0.122499
0.365543,0.17782599999999998,0.12949899999999998
0.375423,0.18803399999999998,0.136499
0.385302,0.198241,0.14699900000000002
0.395182,0.208449,0.157499
0.405061,0.218656,0.16799899999999998
0.414941,0.22886399999999998,0.178499
0.424821,0.23907199999999998,0.192499
0.4347,0.249279,0.202999
0.44458,0.25948699999999997,0.213499
0.454459,0.269694,0.23099799999999998
0.464339,0.279902,0.244998
0.474218,0.290109,0.25899799999999995
0.484098,0.300317,0.276498
0.493977,0.310525,0.297498
0.503857,0.32073199999999996,0.314998
0.513737,0.33094,0.33599799999999996
0.523616,0.341147,0.360498
0.533496,0.351355,0.384998
0.5433749999999999,0.361562,0.412998
0.5532549999999999,0.37177,0.440998
0.563134,0.38197699999999996,0.475997
0.573014,0.392185,0.510997
0.582893,0.402393,0.549497
0.592773,0.41259999999999997,0.584497
0.602652,0.42280799999999996,0.626497
0.612532,0.433015,0.6649970000000001
0.6224109999999999,0.443223,0.703496
0.6322909999999999,0.45343,0.741996
0.64217,0.463638,0.776996
0.65205,0.473846,0.811996
0.661929,0.48405299999999996,0.846996
0.671809,0.49426099999999995,0.881996
0.681689,0.504468,0.9169949999999999
0.691568,0.514676,0.951995
0.701448,0.524883,0.993995
0.7113269999999999,0.535091,1.035995
0.7212069999999999,0.545299,1.0849950000000002
0.731086,0.5555059999999999,1.137494
0.740966,0.5657139999999999,1.200494
0.750845,0.575921,1.273994
0.760725,0.586129,1.357993
0.770604,0.596336,1.459493
0.780484,0.606544,1.578492
0.7903629999999999,0.616752,1.7149919999999998
0.8002429999999999,0.6269589999999999,1.879491
0.810122,0.6371669999999999,2.07199
0.820002,0.647374,2.299489
0.829881,0.657582,2.5654879999999998
0.839761,0.667789,2.876987
0.849641,0.677997,3.237485
0.85952,0.688205,3.650483
0.8694,0.6984119999999999,4.122981
0.8792789999999999,0.7086199999999999,4.658479
0.8891589999999999,0.718827,5.253476
0.899038,0.729035,5.918473
0.908918,0.739242,6.63247
0.918797,0.74945,7.388467
0.928677,0.7596579999999999,8.165463
0.938556,0.7698649999999999,8.92146
0.948436,0.780073,9.628457000000001
0.9583149999999999,0.79028,10.219954
0.9681949999999999,0.800488,10.646952
0.978074,0.8106949999999999,10.881451
0.987954,0.8209029999999999,10.937451
0.997833,0.8311109999999999,10.842952
1.0077129999999999,0.841318,10.639952000000001
1.017593,0.851526,10.352953000000001
1.027472,0.861733,10.013455
1.037352,0.871941,9.628457000000001
1.047231,0.8821479999999999,9.222458999999999
1.057111,0.8923559999999999,8.812961
1.066991,0.9025639999999999,8.410461999999999
1.07687,0.8923559999999999,6.156471999999999
1.0867499999999999,0.8821479999999999,4.640979
1.0966289999999999,0.871941,3.583984
1.106509,0.861733,2.820987
1.1163889999999999,0.851526,2.25399
1.126268,0.841318,1.826991
1.136148,0.8311109999999999,1.494493
1.146027,0.8209029999999999,1.238994
1.155907,0.8106949999999999,1.032495
1.165786,0.800488,0.867996
1.1756659999999999,0.79028,0.734996
1.185546,0.780073,0.619497
1.195425,0.7698649999999999,0.528497
1.2053049999999998,0.7596579999999999,0.454997
1.215184,0.74945,0.388498
1.225064,0.739242,0.332498
1.234944,0.729035,0.29049800000000003
1.244823,0.718827,0.255498
1.254703,0.7086199999999999,0.213499
1.2645819999999999,0.6984119999999999,0.185499
1.274462,0.688205,0.17149899999999998
1.2843419999999999,0.677997,0.136499
1.2942209999999998,0.667789,0.118999
1.304101,0.657582,0.101499
1.31398,0.647374,0.087499616
1.32386,0.6371669999999999,0.069999688
1.333739,0.6269589999999999,0.059499736000000004
1.343619,0.616752,0.048999784000000005
1.353499,0.606544,0.034999844
1.363378,0.596336,0.024499892000000002
1.3732579999999999,0.586129,0.013999938000000002
1.3831369999999998,0.575921,0.0034999840000000003
1.393017,0.5657139999999999,-0.0034999840000000003
1.4028969999999998,0.5555059999999999,-0.013999938000000002
1.412776,0.545299,-0.024499892000000002
1.422656,0.535091,-0.034999844
1.432535,0.524883,-0.048999784000000005
1.442415,0.514676,-0.066499704
1.452295,0.504468,-0.07699965600000001
1.4621739999999999,0.49426099999999995,-0.09449958400000001
1.472054,0.48405299999999996,-0.11549899999999999
1.481933,0.473846,-0.139999
1.4918129999999998,0.463638,-0.16799899999999998
1.501692,0.45343,-0.195999
1.511572,0.443223,-0.23099799999999998
1.521452,0.433015,-0.276498
1.531331,0.42280799999999996,-0.325498
1.5412109999999999,0.41259999999999997,-0.38149799999999995
1.5510899999999999,0.402393,-0.45149700000000004
