timestamp,line
2026-01-06T17:02:48.146,e
2026-01-06T17:02:48.146,M0002
2026-01-06T17:02:48.239,"Pda7F0BE7Du;ba801CB5Ff,14,280;ba804875Ef,14,280;ba802BBFFf,14,280"
2026-01-06T17:02:48.239,"Pda7F0C635u;baA00B164a,14,280;ba8050A9Ef,14,280;ba804875Ef,14,280"
2026-01-06T17:02:48.255,"Pda7F0CDEDu;baA00B180a,14,280;ba805365Ef,14,280;ba804B31Ef,14,280"
2026-01-06T17:02:48.255,"Pda7F0D5A5u;ba9AB3E88a,14,280;ba805207Ef,14,280;ba804B31Ef,14,280"
2026-01-06T17:02:48.271,"Pda7F0DD5Du;baA56245Ca,14,280;ba8054C3Ef,14,280;ba804B31Ef,14,280"
2026-01-06T17:02:48.380,"Pda7F0E515u;baA00B180a,14,280;ba805365Ef,14,280;ba804B31Ef,14,280"
2026-01-06T17:02:48.387,"Pda7F0ECCDu;baA56245Ca,14,280;ba8054C3Ef,14,280;ba804B31Ef,14,280"
2026-01-06T17:02:48.393,"Pda7F0F485u;baA00B180a,14,280;ba805365Ef,14,280;ba804B31Ef,14,280"
2026-01-06T17:02:48.401,"Pda7F0FC3Du;baA00B164a,14,280;ba805207Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.408,"Pda7F103F5u;baA00B180a,14,280;ba805365Ef,14,280;ba804B31Ef,14,280"
2026-01-06T17:02:48.415,"Pda7F10BACu;baA00B180a,14,280;ba805365Ef,14,280;ba804B31Ef,14,280"
2026-01-06T17:02:48.421,"Pda7F11364u;baA00B180a,14,280;ba805365Ef,14,280;ba804B31Ef,14,280"
2026-01-06T17:02:48.475,"Pda7F11B1Cu;baA00B180a,14,280;ba805365Ef,14,280;ba804B31Ef,14,280"
2026-01-06T17:02:48.490,"Pda7F122D4u;baA56245Ca,14,280;ba8054C3Ef,14,280;ba804B31Ef,14,280"
2026-01-06T17:02:48.490,"Pda7F12A8Cu;baA00B180a,14,280;ba805365Ef,14,280;ba804B31Ef,14,280"
2026-01-06T17:02:48.490,"Pda7F13244u;baB010A34a,14,280;ba805621Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.506,"Pda7F139FCu;baAAB973Ca,14,280;ba8054C3Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.506,"Pda7F141B4u;baA56245Ca,14,280;ba805365Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.598,"Pda7F1496Cu;baA00B180a,14,280;ba805365Ef,14,280;ba804B31Ef,14,280"
2026-01-06T17:02:48.598,"Pda7F15124u;baAAB973Ca,14,280;ba8054C3Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.614,"Pda7F158DCu;baAAB973Ca,14,280;ba8054C3Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.614,"Pda7F16093u;baA56245Ca,14,280;ba805365Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.629,"Pda7F1684Bu;baAAB973Ca,14,280;ba8054C3Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.645,"Pda7F17003u;baA56245Ca,14,280;ba805365Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.661,"Pda7F177BBu;baB010A34a,14,280;ba805621Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.731,"Pda7F17F73u;baAAB973Ca,14,280;ba8054C3Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.738,"Pda7F1872Bu;baA56245Ca,14,280;ba805365Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.745,"Pda7F18EE3u;baB010A34a,14,280;ba805621Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.752,"Pda7F1969Bu;baAAB973Ca,14,280;ba8054C3Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.755,"Pda7F19E53u;baB010A34a,14,280;ba805621Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.755,"Pda7F1A60Bu;baAAB973Ca,14,280;ba8054C3Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.771,"Pda7F1ADC3u;baB567D10a,14,280;ba805621Ef,14,280;ba804875Ef,14,280"
2026-01-06T17:02:48.833,"Pda7F1B57Au;baB010A34a,14,280;ba805621Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.833,"Pda7F1BD32u;baB567D10a,14,280;ba80577FEf,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.854,"Pda7F1C4EAu;baB010A34a,14,280;ba805621Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.862,"Pda7F1CCA2u;baBABEFECa,14,280;ba8058DDEf,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.868,"Pda7F1D45Au;baB010A34a,14,280;ba805621Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.875,"Pda7F1DC12u;baB010A34a,14,280;ba805621Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.955,"Pda7F1E3CAu;baBABEFECa,14,280;ba80577FEf,14,280;ba804875Ef,14,280"
2026-01-06T17:02:48.962,"Pda7F1EB82u;baB010A34a,14,280;ba805621Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.970,"Pda7F1F33Au;baB567D10a,14,280;ba80577FEf,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.975,"Pda7F1FAF2u;baB010A34a,14,280;ba805621Ef,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.975,"Pda7F202AAu;baBABEFECa,14,280;ba8058DDEf,14,280;ba8049D3Ef,14,280"
2026-01-06T17:02:48.975,"Pda7F20A62u;baBABEFECa,14,280;ba80577FEf,14,280;ba804875Ef,14,280"
2026-01-06T17:02:48.991,"Pda7F21219u;baBABEFECa,14,280;ba80577FEf,14,280;ba804875Ef,14,280"
2026-01-06T17:02:49.060,"Pda7F219D1u;baB567D10a,14,280;ba805621Ef,14,280;ba804875Ef,14,280"
2026-01-06T17:02:49.060,"Pda7F22189u;baB567D10a,14,280;ba805621Ef,14,280;ba804875Ef,14,280"
2026-01-06T17:02:49.076,"Pda7F22941u;baC0162C8a,14,280;ba8058DDEf,14,280;ba804875Ef,14,280"
2026-01-06T17:02:49.076,"Pda7F230F9u;baB567D10a,14,280;ba805621Ef,14,280;ba804875Ef,14,280"
2026-01-06T17:02:49.092,"Pda7F238B1u;baBABEFECa,14,280;ba80577FEf,14,280;ba804875Ef,14,280"
2026-01-06T17:02:49.107,"Pda7F24069u;baB567D10a,14,280;ba805621Ef,14,280;ba804875Ef,14,280"
2026-01-06T17:02:49.107,"Pda7F24821u;baC0162C8a,14,280;ba8058DDEf,14,280;ba804875Ef,14,280"
2026-01-06T17:02:49.123,"Pda7F24FD9u;baBABEFECa,14,280;ba80577FEf,14,280;ba804875Ef,14,280"
