timestamp,x,y,channel,x_idx,y_idx,ch_idx,override_channel
2026-01-06T17:00:25.442,5.0399768000000004e-11,2.63198e-10,-0.999811,1,2,0,
2026-01-06T17:00:25.469,-2.7999880000000002e-11,2.9679800000000003e-10,-0.9978349999999999,1,2,0,
2026-01-06T17:00:25.479,-3.3599844e-11,3.0239800000000004e-10,-0.9958589999999999,1,2,0,
2026-01-06T17:00:25.583,-4.4799804000000006e-11,2.9679800000000003e-10,-0.993883,1,2,0,
2026-01-06T17:00:25.605,-3.3599844e-11,3.0239800000000004e-10,-0.991907,1,2,0,
2026-01-06T17:00:25.612,-3.9199836e-11,3.0239800000000004e-10,-0.989931,1,2,0,
2026-01-06T17:00:25.614,-3.3599872e-11,3.07998e-10,-0.9879549999999999,1,2,0,
2026-01-06T17:00:25.614,-3.9199836e-11,3.0239800000000004e-10,-0.9859789999999999,1,2,0,
2026-01-06T17:00:25.629,-2.7999880000000002e-11,3.13598e-10,-0.984003,1,2,0,
2026-01-06T17:00:25.718,-3.9199836e-11,3.0239800000000004e-10,-0.982027,1,2,0,
2026-01-06T17:00:25.724,-2.7999880000000002e-11,3.13598e-10,-0.9800519999999999,1,2,0,
2026-01-06T17:00:25.724,-3.9199836e-11,3.07998e-10,-0.978076,1,2,0,
2026-01-06T17:00:25.724,-4.4799804000000006e-11,3.0239800000000004e-10,-0.9761,1,2,0,
2026-01-06T17:00:25.739,-3.9199836e-11,3.07998e-10,-0.974124,1,2,0,
2026-01-06T17:00:25.755,-4.4799804000000006e-11,3.0239800000000004e-10,-0.9721479999999999,1,2,0,
2026-01-06T17:00:25.755,-3.9199836e-11,3.07998e-10,-0.9701719999999999,1,2,0,
2026-01-06T17:00:25.755,-3.9199836e-11,3.07998e-10,-0.968196,1,2,0,
2026-01-06T17:00:25.770,-3.9199836e-11,3.07998e-10,-0.96622,1,2,0,
2026-01-06T17:00:25.770,-4.4799804000000006e-11,3.0239800000000004e-10,-0.964244,1,2,0,
2026-01-06T17:00:25.786,-3.3599844e-11,3.13598e-10,-0.9622679999999999,1,2,0,
2026-01-06T17:00:25.786,-3.3599872e-11,3.07998e-10,-0.9602919999999999,1,2,0,
2026-01-06T17:00:25.804,-5.0399768000000004e-11,2.9679800000000003e-10,-0.958317,1,2,0,
2026-01-06T17:00:25.880,-3.9199836e-11,3.07998e-10,-0.956341,1,2,0,
2026-01-06T17:00:25.880,-4.4799804000000006e-11,3.0239800000000004e-10,-0.9543649999999999,1,2,0,
2026-01-06T17:00:25.895,-4.4799828e-11,3.07998e-10,-0.9523889999999999,1,2,0,
2026-01-06T17:00:25.895,-4.4799828e-11,3.07998e-10,-0.950413,1,2,0,
2026-01-06T17:00:25.911,-4.4799828e-11,3.07998e-10,-0.948437,1,2,0,
2026-01-06T17:00:25.940,-3.9199836e-11,3.07998e-10,-0.946461,1,2,0,
2026-01-06T17:00:25.947,-3.9199836e-11,3.13598e-10,-0.9444849999999999,1,2,0,
2026-01-06T17:00:26.005,-3.9199836e-11,3.07998e-10,-0.9425089999999999,1,2,0,
2026-01-06T17:00:26.023,-4.4799804000000006e-11,3.13598e-10,-0.940533,1,2,0,
2026-01-06T17:00:26.030,-4.4799828e-11,3.07998e-10,-0.938557,1,2,0,
2026-01-06T17:00:26.037,-5.0399796000000007e-11,3.0239800000000004e-10,-0.9365819999999999,1,2,0,
2026-01-06T17:00:26.044,-4.4799828e-11,3.07998e-10,-0.9346059999999999,1,2,0,
2026-01-06T17:00:26.050,-4.4799804000000006e-11,3.0239800000000004e-10,-0.93263,1,2,0,
2026-01-06T17:00:26.051,-3.9199836e-11,3.13598e-10,-0.930654,1,2,0,
2026-01-06T17:00:26.130,-4.4799828e-11,3.07998e-10,-0.928678,1,2,0,
2026-01-06T17:00:26.130,-3.9199836e-11,3.07998e-10,-0.9267019999999999,1,2,0,
2026-01-06T17:00:26.145,-4.4799804000000006e-11,3.0239800000000004e-10,-0.9247259999999999,1,2,0,
2026-01-06T17:00:26.152,-3.9199836e-11,3.07998e-10,-0.92275,1,2,0,
2026-01-06T17:00:26.158,-3.9199836e-11,3.07998e-10,-0.920774,1,2,0,
2026-01-06T17:00:26.161,-4.4799804000000006e-11,3.0239800000000004e-10,-0.918798,1,2,0,
2026-01-06T17:00:26.161,-3.9199836e-11,3.07998e-10,-0.9168219999999999,1,2,0,
2026-01-06T17:00:26.239,-5.0399796000000007e-11,3.0239800000000004e-10,-0.9148459999999999,1,2,0,
2026-01-06T17:00:26.256,-3.9199836e-11,3.07998e-10,-0.912871,1,2,0,
2026-01-06T17:00:26.262,-4.4799804000000006e-11,3.0239800000000004e-10,-0.910895,1,2,0,
2026-01-06T17:00:26.269,-3.9199836e-11,3.13598e-10,-0.9089189999999999,1,2,0,
2026-01-06T17:00:26.270,-3.9199836e-11,3.07998e-10,-0.9069429999999999,1,2,0,
2026-01-06T17:00:26.270,-3.9199836e-11,3.13598e-10,-0.904967,1,2,0,
2026-01-06T17:00:26.366,-3.9199836e-11,3.07998e-10,-0.902991,1,2,0,
2026-01-06T17:00:26.373,-4.4799804000000006e-11,3.0239800000000004e-10,-0.901015,1,2,0,
2026-01-06T17:00:26.379,-3.3599844e-11,3.13598e-10,-0.8990389999999999,1,2,0,
2026-01-06T17:00:26.380,-3.9199836e-11,3.07998e-10,-0.8970629999999999,1,2,0,
2026-01-06T17:00:26.380,-4.4799828e-11,3.07998e-10,-0.895087,1,2,0,
2026-01-06T17:00:26.396,-3.9199836e-11,3.07998e-10,-0.893111,1,2,0,
2026-01-06T17:00:26.396,-3.3599844e-11,3.13598e-10,-0.8911359999999999,1,2,0,
2026-01-06T17:00:26.481,-4.4799828e-11,3.07998e-10,-0.88916,1,2,0,
2026-01-06T17:00:26.489,-3.9199836e-11,3.07998e-10,-0.887184,1,2,0,
2026-01-06T17:00:26.489,-3.9199836e-11,3.07998e-10,-0.885208,1,2,0,
2026-01-06T17:00:26.489,-3.3599844e-11,3.13598e-10,-0.8832319999999999,1,2,0,
2026-01-06T17:00:26.505,-4.4799828e-11,3.07998e-10,-0.8812559999999999,1,2,0,
2026-01-06T17:00:26.505,-3.9199836e-11,3.07998e-10,-0.87928,1,2,0,
2026-01-06T17:00:26.520,-3.9199836e-11,3.13598e-10,-0.877304,1,2,0,
2026-01-06T17:00:26.595,-4.4799804000000006e-11,3.0239800000000004e-10,-0.875328,1,2,0,
