timestamp,line
2026-01-06T17:02:32.740,e
2026-01-06T17:02:32.740,M0002
2026-01-06T17:02:32.740,"Pda7F0BE7Du;baD01BBA8a,14,280;ba80445BEf,14,280;ba802FD9Ff,14,280"
2026-01-06T17:02:32.764,"Pda7F0C635u;ba90058CEa,14,280;ba804F4BEf,14,280;ba804B31Ef,14,280"
2026-01-06T17:02:32.776,"Pda7F0CDEDu;ba8000000 ,14,280;ba804DEDEf,14,280;ba804DEDEf,14,280"
2026-01-06T17:02:32.784,"Pda7F0D5A5u;ba8AAE5D5a,14,280;ba8050A9Ef,14,280;ba804DEDEf,14,280"
2026-01-06T17:02:32.849,"Pda7F0DD5Du;ba8000000 ,14,280;ba804F4BEf,14,280;ba804F4BEf,14,280"
2026-01-06T17:02:32.849,"Pda7F0E515u;ba85572DDa,14,280;ba8050A9Ef,14,280;ba804F4BEf,14,280"
2026-01-06T17:02:32.866,"Pda7F0ECCDu;ba85572F8a,14,280;ba804F4BEf,14,280;ba804DEDEf,14,280"
2026-01-06T17:02:32.872,"Pda7F0F485u;ba7AA8D08a,14,280;ba804DEDEf,14,280;ba804F4BEf,14,280"
2026-01-06T17:02:32.879,"Pda7F0FC3Du;ba85572DDa,14,280;ba8050A9Ef,14,280;ba804F4BEf,14,280"
2026-01-06T17:02:32.881,"Pda7F103F5u;ba7AA8D08a,14,280;ba804DEDEf,14,280;ba804F4BEf,14,280"
2026-01-06T17:02:32.881,"Pda7F10BACu;ba8000000 ,14,280;ba804F4BEf,14,280;ba804F4BEf,14,280"
2026-01-06T17:02:32.959,"Pda7F11364u;ba7AA8D08a,14,280;ba804DEDEf,14,280;ba804F4BEf,14,280"
2026-01-06T17:02:32.959,"Pda7F11B1Cu;ba8000000 ,14,280;ba804F4BEf,14,280;ba804F4BEf,14,280"
2026-01-06T17:02:32.979,"Pda7F122D4u;ba8000000 ,14,280;ba804F4BEf,14,280;ba804F4BEf,14,280"
2026-01-06T17:02:32.986,"Pda7F12A8Cu;ba8000000 ,14,280;ba8050A9Ef,14,280;ba8050A9Ef,14,280"
2026-01-06T17:02:32.990,"Pda7F13244u;ba8000000 ,14,280;ba804F4BEf,14,280;ba804F4BEf,14,280"
2026-01-06T17:02:32.990,"Pda7F139FCu;ba7551A2Ba,14,280;ba804DEDEf,14,280;ba8050A9Ef,14,280"
2026-01-06T17:02:33.077,"Pda7F141B4u;ba7AA8D23a,14,280;ba804F4BEf,14,280;ba8050A9Ef,14,280"
2026-01-06T17:02:33.077,"Pda7F1496Cu;ba7AA8D23a,14,280;ba804F4BEf,14,280;ba8050A9Ef,14,280"
2026-01-06T17:02:33.092,"Pda7F15124u;ba7AA8D23a,14,280;ba804F4BEf,14,280;ba8050A9Ef,14,280"
2026-01-06T17:02:33.092,"Pda7F158DCu;ba7551A2Ba,14,280;ba804DEDEf,14,280;ba8050A9Ef,14,280"
2026-01-06T17:02:33.108,"Pda7F16093u;ba7AA8D23a,14,280;ba804F4BEf,14,280;ba8050A9Ef,14,280"
2026-01-06T17:02:33.108,"Pda7F1684Bu;ba6FFA74Ea,14,280;ba804DEDEf,14,280;ba805207Ef,14,280"
2026-01-06T17:02:33.194,"Pda7F17003u;ba7AA8D23a,14,280;ba804F4BEf,14,280;ba8050A9Ef,14,280"
2026-01-06T17:02:33.200,"Pda7F177BBu;ba7551A2Ba,14,280;ba804DEDEf,14,280;ba8050A9Ef,14,280"
2026-01-06T17:02:33.207,"Pda7F17F73u;ba6AA3470a,14,280;ba804C8FEf,14,280;ba805207Ef,14,280"
2026-01-06T17:02:33.209,"Pda7F1872Bu;ba6FFA74Ea,14,280;ba804DEDEf,14,280;ba805207Ef,14,280"
2026-01-06T17:02:33.209,"Pda7F18EE3u;ba6AA3470a,14,280;ba804C8FEf,14,280;ba805207Ef,14,280"
2026-01-06T17:02:33.224,"Pda7F1969Bu;ba6FFA74Ea,14,280;ba804DEDEf,14,280;ba805207Ef,14,280"
2026-01-06T17:02:33.224,"Pda7F19E53u;ba6FFA74Ea,14,280;ba804DEDEf,14,280;ba805207Ef,14,280"
2026-01-06T17:02:33.305,"Pda7F1A60Bu;ba6FFA74Ea,14,280;ba804DEDEf,14,280;ba805207Ef,14,280"
2026-01-06T17:02:33.313,"Pda7F1ADC3u;ba6FFA74Ea,14,280;ba804DEDEf,14,280;ba805207Ef,14,280"
2026-01-06T17:02:33.318,"Pda7F1B57Au;ba6FFA74Ea,14,280;ba804DEDEf,14,280;ba805207Ef,14,280"
2026-01-06T17:02:33.318,"Pda7F1BD32u;ba6AA3456a,14,280;ba804DEDEf,14,280;ba805365Ef,14,280"
2026-01-06T17:02:33.318,"Pda7F1C4EAu;ba6FFA74Ea,14,280;ba804F4BEf,14,280;ba805365Ef,14,280"
2026-01-06T17:02:33.333,"Pda7F1CCA2u;ba6FFA74Ea,14,280;ba804DEDEf,14,280;ba805207Ef,14,280"
2026-01-06T17:02:33.428,"Pda7F1D45Au;ba6AA3470a,14,280;ba804C8FEf,14,280;ba805207Ef,14,280"
2026-01-06T17:02:33.428,"Pda7F1DC12u;ba6FFA74Ea,14,280;ba804DEDEf,14,280;ba805207Ef,14,280"
2026-01-06T17:02:33.443,"Pda7F1E3CAu;ba6AA3470a,14,280;ba804C8FEf,14,280;ba805207Ef,14,280"
2026-01-06T17:02:33.443,"Pda7F1EB82u;ba6FFA74Ea,14,280;ba804DEDEf,14,280;ba805207Ef,14,280"
2026-01-06T17:02:33.443,"Pda7F1F33Au;ba654C178a,14,280;ba804C8FEf,14,280;ba805365Ef,14,280"
2026-01-06T17:02:33.475,"Pda7F1FAF2u;ba6FFA74Ea,14,280;ba804DEDEf,14,280;ba805207Ef,14,280"
2026-01-06T17:02:33.490,"Pda7F202AAu;ba6AA3470a,14,280;ba804C8FEf,14,280;ba805207Ef,14,280"
2026-01-06T17:02:33.490,"Pda7F20A62u;ba6FFA74Ea,14,280;ba804DEDEf,14,280;ba805207Ef,14,280"
2026-01-06T17:02:33.506,"Pda7F21219u;ba654C178a,14,280;ba804C8FEf,14,280;ba805365Ef,14,280"
2026-01-06T17:02:33.506,"Pda7F219D1u;ba5FF4E80a,14,280;ba804B31Ef,14,280;ba805365Ef,14,280"
2026-01-06T17:02:33.506,"Pda7F22189u;ba6AA3456a,14,280;ba804DEDEf,14,280;ba805365Ef,14,280"
2026-01-06T17:02:33.526,"Pda7F22941u;ba654C178a,14,280;ba804C8FEf,14,280;ba805365Ef,14,280"
2026-01-06T17:02:33.532,"Pda7F230F9u;ba6AA3456a,14,280;ba804DEDEf,14,280;ba805365Ef,14,280"
2026-01-06T17:02:33.599,"Pda7F238B1u;ba5FF4E80a,14,280;ba804B31Ef,14,280;ba805365Ef,14,280"
2026-01-06T17:02:33.599,"Pda7F24069u;ba6AA3456a,14,280;ba804DEDEf,14,280;ba805365Ef,14,280"
2026-01-06T17:02:33.615,"Pda7F24821u;ba654C178a,14,280;ba804C8FEf,14,280;ba805365Ef,14,280"
2026-01-06T17:02:33.615,"Pda7F24FD9u;ba654C178a,14,280;ba804DEDEf,14,280;ba8054C3Ef,14,280"
2026-01-06T17:02:33.632,"Pda7F25791u;ba654C178a,14,280;ba804C8FEf,14,280;ba805365Ef,14,280"
2026-01-06T17:02:33.639,"Pda7F25F49u;ba5A9DBA4a,14,280;ba804B31Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:02:33.647,"Pda7F26700u;ba5FF4E9Ca,14,280;ba804C8FEf,14,280;ba8054C3Ef,14,280"
2026-01-06T17:02:33.709,"Pda7F26EB8u;ba5FF4E80a,14,280;ba804B31Ef,14,280;ba805365Ef,14,280"
2026-01-06T17:02:33.709,"Pda7F27670u;ba5FF4E9Ca,14,280;ba804C8FEf,14,280;ba8054C3Ef,14,280"
2026-01-06T17:02:33.725,"Pda7F27E28u;ba5A9DBA4a,14,280;ba804B31Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:02:33.725,"Pda7F285E0u;ba654C178a,14,280;ba804C8FEf,14,280;ba805365Ef,14,280"
2026-01-06T17:02:33.744,"Pda7F28D98u;ba654C178a,14,280;ba804C8FEf,14,280;ba805365Ef,14,280"
2026-01-06T17:02:33.750,"Pda7F29550u;ba5FF4E9Ca,14,280;ba804C8FEf,14,280;ba8054C3Ef,14,280"
2026-01-06T17:02:33.833,"Pda7F29D08u;ba5FF4E9Ca,14,280;ba804C8FEf,14,280;ba8054C3Ef,14,280"
2026-01-06T17:02:33.850,"Pda7F2A4C0u;ba5FF4E9Ca,14,280;ba804C8FEf,14,280;ba8054C3Ef,14,280"
2026-01-06T17:02:33.857,"Pda7F2AC78u;ba5FF4E9Ca,14,280;ba804C8FEf,14,280;ba8054C3Ef,14,280"
2026-01-06T17:02:33.863,"Pda7F2B430u;ba5A9DBA4a,14,280;ba804B31Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:02:33.865,"Pda7F2BBE7u;ba5FF4E9Ca,14,280;ba804C8FEf,14,280;ba8054C3Ef,14,280"
2026-01-06T17:02:33.865,"Pda7F2C39Fu;ba55468ACa,14,280;ba804B31Ef,14,280;ba805621Ef,14,280"
2026-01-06T17:02:33.881,"Pda7F2CB57u;ba5FF4E9Ca,14,280;ba804C8FEf,14,280;ba8054C3Ef,14,280"
2026-01-06T17:02:33.943,"Pda7F2D30Fu;ba5A9DBA4a,14,280;ba804B31Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:02:33.962,"Pda7F2DAC7u;ba654C178a,14,280;ba804DEDEf,14,280;ba8054C3Ef,14,280"
2026-01-06T17:02:33.970,"Pda7F2E27Fu;ba5A9DBA4a,14,280;ba804B31Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:02:33.974,"Pda7F2EA37u;ba5FF4E80a,14,280;ba804DEDEf,14,280;ba805621Ef,14,280"
2026-01-06T17:02:33.974,"Pda7F2F1EFu;ba5A9DBA4a,14,280;ba804B31Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:02:33.974,"Pda7F2F9A7u;ba55468ACa,14,280;ba804B31Ef,14,280;ba805621Ef,14,280"
2026-01-06T17:02:34.069,"Pda7F3015Fu;ba5A9DBA4a,14,280;ba804C8FEf,14,280;ba805621Ef,14,280"
