timestamp,line
2026-01-06T17:00:25.442,e
2026-01-06T17:00:25.442,M0002
2026-01-06T17:00:25.442,"Pda7F0BE7Du;baB010A18a,14,280;ba804041Ef,14,280;ba8033F3Ff,14,280"
2026-01-06T17:00:25.442,"Pda7F0C635u;ba654C178a,14,280;ba804875Ef,14,280;ba804F4BEf,14,280"
2026-01-06T17:00:25.469,"Pda7F0CDEDu;ba5FF4E9Ca,14,280;ba8049D3Ef,14,280;ba805207Ef,14,280"
2026-01-06T17:00:25.583,"Pda7F0D5A5u;ba55468C4a,14,280;ba804875Ef,14,280;ba805365Ef,14,280"
2026-01-06T17:00:25.583,"Pda7F0DD5Du;ba5FF4E9Ca,14,280;ba8049D3Ef,14,280;ba805207Ef,14,280"
2026-01-06T17:00:25.605,"Pda7F0E515u;ba5A9DBA4a,14,280;ba8049D3Ef,14,280;ba805365Ef,14,280"
2026-01-06T17:00:25.612,"Pda7F0ECCDu;ba5FF4E80a,14,280;ba804B31Ef,14,280;ba805365Ef,14,280"
2026-01-06T17:00:25.614,"Pda7F0F485u;ba5A9DBA4a,14,280;ba8049D3Ef,14,280;ba805365Ef,14,280"
2026-01-06T17:00:25.614,"Pda7F0FC3Du;ba654C178a,14,280;ba804C8FEf,14,280;ba805365Ef,14,280"
2026-01-06T17:00:25.711,"Pda7F103F5u;ba5A9DBA4a,14,280;ba8049D3Ef,14,280;ba805365Ef,14,280"
2026-01-06T17:00:25.718,"Pda7F10BACu;ba654C178a,14,280;ba804C8FEf,14,280;ba805365Ef,14,280"
2026-01-06T17:00:25.724,"Pda7F11364u;ba5A9DBA4a,14,280;ba804B31Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:00:25.724,"Pda7F11B1Cu;ba55468C4a,14,280;ba8049D3Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:00:25.724,"Pda7F122D4u;ba5A9DBA4a,14,280;ba804B31Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:00:25.739,"Pda7F12A8Cu;ba55468C4a,14,280;ba8049D3Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:00:25.755,"Pda7F13244u;ba5A9DBA4a,14,280;ba804B31Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:00:25.755,"Pda7F139FCu;ba5A9DBA4a,14,280;ba804B31Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:00:25.755,"Pda7F141B4u;ba5A9DBA4a,14,280;ba804B31Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:00:25.770,"Pda7F1496Cu;ba55468C4a,14,280;ba8049D3Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:00:25.770,"Pda7F15124u;ba5FF4E9Ca,14,280;ba804C8FEf,14,280;ba8054C3Ef,14,280"
2026-01-06T17:00:25.786,"Pda7F158DCu;ba5FF4E80a,14,280;ba804B31Ef,14,280;ba805365Ef,14,280"
2026-01-06T17:00:25.786,"Pda7F16093u;ba4FEF5E8a,14,280;ba804875Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:00:25.864,"Pda7F1684Bu;ba5A9DBA4a,14,280;ba804B31Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:00:25.880,"Pda7F17003u;ba55468C4a,14,280;ba8049D3Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:00:25.880,"Pda7F177BBu;ba55468ACa,14,280;ba804B31Ef,14,280;ba805621Ef,14,280"
2026-01-06T17:00:25.895,"Pda7F17F73u;ba55468ACa,14,280;ba804B31Ef,14,280;ba805621Ef,14,280"
2026-01-06T17:00:25.895,"Pda7F1872Bu;ba55468ACa,14,280;ba804B31Ef,14,280;ba805621Ef,14,280"
2026-01-06T17:00:25.911,"Pda7F18EE3u;ba5A9DBA4a,14,280;ba804B31Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:00:25.940,"Pda7F1969Bu;ba5A9DBA4a,14,280;ba804C8FEf,14,280;ba805621Ef,14,280"
2026-01-06T17:00:26.005,"Pda7F19E53u;ba5A9DBA4a,14,280;ba804B31Ef,14,280;ba8054C3Ef,14,280"
2026-01-06T17:00:26.005,"Pda7F1A60Bu;ba55468C4a,14,280;ba804C8FEf,14,280;ba80577FEf,14,280"
2026-01-06T17:00:26.023,"Pda7F1ADC3u;ba55468ACa,14,280;ba804B31Ef,14,280;ba805621Ef,14,280"
