R*
e
M0005
Pda8000000 ;ba654C17Cf,14,208
Pda7643EAEn;ba72A60BEf,14,208
Pda6C87D5Cn;ba72A60BEf,14,208
Pda62CBC0An;ba795305Ff,14,207
Pda590FAB8n;ba795305Ff,14,207
Pda4F53964n;ba72A60BEf,14,207
Pda4597814n;ba795305Ff,14,206
Pda3BDB6C0n;ba75FC88Ef,14,206
Pda321F570n;ba75FC88Ef,14,206
Pda2863418n;ba7AFE447f,14,205
Pda7FE7145u;ba7E54C18f,14,205
Pda7FE4965u;ba8000000 ,14,205
Pda7FE2186u;ba8000000 ,14,204
Pda7FDF9A6u;ba7F2A60Cf,14,204
Pda7FDD1C7u;ba7E54C18f,14,204
Pda7FDA9E7u;ba7EBF912f,14,203
Pda7FD8207u;ba7DE9F1Ef,14,203
Pda7FD5A28u;ba7D7F224f,14,203
Pda7FD3248u;ba7E54C18f,14,202
Pda7FD0A69u;ba7FCA983f,14,202
Pda7FCE289u;ba80D59F4f,14,202
Pda7FCBAAAu;ba815B22Cf,14,201
Pda7FC92CAu;ba80D59F4f,14,201
Pda7FC6AEAu;ba803567Df,14,201
Pda7FC430Bu;ba805365Ef,14,200
Pda7FC1B2Bu;ba80238BFf,14,200
Pda7FBF34Cu;ba7FDC741f,14,200
Pda7FBCB6Cu;ba7F9C322f,14,200
Pda7FBA38Du;ba7F8E863f,14,200
Pda7FB7BADu;ba7FC5362f,14,200
Pda7FB53CDu;baC56D5C0a,14,200
Pda7FB2BEEu;ba804DEDEf,14,200
Pda7FB040Eu;ba80626FEf,14,200
Pda7FADC2Fu;ba8058DDEf,14,200
Pda7FAB44Fu;ba803137Ff,14,200
Pda7FA8C70u;ba353B750a,14,200
Pda7FA6490u;ba7FA7222f,14,200
Pda7FA3CB0u;ba7F8BCA3f,14,200
Pda7FA14D1u;ba7FB62C2f,14,200
Pda7F9ECF1u;ba8AAE5CFa,14,200
Pda7F9C512u;ba8045B9Ef,14,200
Pda7F99D32u;ba80626FEf,14,200
Pda7F97553u;ba805CF7Ef,14,200
Pda7F94D73u;ba803C27Ef,14,200
Pda7F92593u;ba6FFA748a,14,200
Pda7F8FDB4u;ba7FB3702f,14,200
Pda7F8D5D4u;ba7F8A6C3f,14,200
Pda7F8ADF5u;ba7F8D283f,14,200
Pda7F88615u;ba7FE08E1f,14,200
Pda7F85E36u;ba803D85Ef,14,200
Pda7F88615u;ba80784FDf,14,200
Pda7F8ADF5u;ba80784FDf,14,200
Pda7F8D5D4u;ba805FB3Ef,14,200
Pda7F8FDB4u;ba80189BFf,14,200
Pda7F92593u;ba7FBBA42f,14,200
Pda7F94D73u;ba7F732E3f,14,200
Pda7F97553u;ba7F78A63f,14,200
Pda7F99D32u;ba7FC6942f,14,200
Pda7F9C512u;ba8027A5Ff,14,200
Pda7F9ECF1u;ba806C01Ef,14,200
Pda7FA14D1u;ba807F25Df,14,200
Pda7FA3CB0u;ba806C01Ef,14,200
Pda7FA6490u;ba802D1DFf,14,200
Pda7FA8C70u;ba7FD0261f,14,200
Pda7FAB44Fu;ba7F7CC03f,14,200
Pda7FADC2Fu;ba7F6DB63f,14,200
Pda7FB040Eu;ba7FB3702f,14,200
Pda7FB2BEEu;baD572E78a,14,200
Pda7FB53CDu;ba806111Ef,14,200
Pda7FB7BADu;ba807DC7Df,14,200
Pda7FBA38Du;ba807435Df,14,200
Pda7FBCB6Cu;ba804041Ef,14,200
Pda7FBF34Cu;ba7FE7641f,14,200
Pda7FC1B2Bu;ba7F8D283f,14,200
Pda7FC430Bu;ba7F6AFA3f,14,200
Pda7FC6AEAu;ba7F9D902f,14,200
Pda7FC92CAu;ba7551A31a,14,200
Pda7FCBAAAu;ba805207Ef,14,200
Pda7FCE289u;ba807B0BDf,14,200
Pda7FD0A69u;ba807B0BDf,14,200
Pda7FD3248u;ba805207Ef,14,200
Pda7FD5A28u;ba8000000 ,14,200
Pda7FD8207u;ba7FA1AA2f,14,200
Pda7FDA9E7u;ba7F699C3f,14,200
Pda7FDD1C7u;ba7F8A6C3f,14,200
Pda7FDF9A6u;ba7FE4A81f,14,200
Pda7FE2186u;ba80419FEf,14,200
Pda7FE4965u;ba8076F1Df,14,200
Pda7FE7145u;ba807DC7Df,14,200
Pda2863418n;ba806111Ef,14,200
Pda321F570n;baD01BB90a,14,200
Pda3BDB6C0n;ba7FB4CE2f,14,200
Pda4597814n;ba7F6DB63f,14,200
Pda4F53964n;ba7F7B623f,14,200
Pda590FAB8n;ba7FCEC81f,14,200
Pda62CBC0An;ba803137Ff,14,200
Pda6C87D5Cn;ba80701BDf,14,200
Pda7643EAEn;ba807F25Df,14,200
Pda8000000 ;ba806AA3Ef,14,200
Pda89BC152n;ba802903Ff,14,200
Pda93782A4n;ba7FCAAE1f,14,200
Pda9D343F6n;ba7F78A63f,14,200
PdaA6F0548n;ba7F70723f,14,200
PdaB0AC69Cn;ba7FB8E82f,14,200
PdaBA687ECn;ba801B57Ff,14,200
PdaC424940n;ba80652BEf,14,200
PdaCDE0A90n;ba807F25Df,14,200
PdaD79CBE8n;ba8072D7Df,14,200
Pda8018EBBu;ba803AC9Ef,14,200
Pda801B69Bu;ba7FDF301f,14,200
Pda801DE7Au;ba7F86523f,14,200
Pda802065Au;ba7F6AFA3f,14,200
Pda8022E39u;ba7FA5C42f,14,200
Pda8025619u;ba9AB3E86a,14,200
Pda8027DF9u;ba805A3BEf,14,200
Pda802A5D8u;ba807C69Df,14,200
Pda802CDB8u;ba80784FDf,14,200
Pda802F597u;ba804B31Ef,14,200
Pda8031D77u;ba4FEF5DCa,14,200
Pda8034556u;ba7F955C2f,14,200
Pda8036D36u;ba7F683E3f,14,200
Pda8039516u;ba7F93FE2f,14,200
Pda803BCF5u;ba4FEF5DCa,14,200
Pda803E4D5u;ba804C8FEf,14,200
Pda8040CB4u;ba8079ADDf,14,200
Pda8043494u;ba807B0BDf,14,200
Pda8045C73u;ba805621Ef,14,200
Pda8048453u;ba90058B8a,14,200
Pda804AC33u;ba7FA5C42f,14,200
Pda804D412u;ba7F6AFA3f,14,200
Pda804FBF2u;ba7F890E3f,14,200
Pda80523D1u;ba7FE4A81f,14,200
Pda8054BB1u;ba80419FEf,14,200
Pda8057390u;ba8076F1Df,14,200
Pda8059B70u;ba807DC7Df,14,200
Pda805C350u;ba805FB3Ef,14,200
Pda805EB2Fu;baD01BB90a,14,200
Pda806130Fu;ba7FB78A2f,14,200
Pda8063AEEu;ba7F70723f,14,200
Pda80662CEu;ba7F7B623f,14,200
Pda8068AADu;ba7FCD6A1f,14,200
Pda806B28Du;ba802E7BFf,14,200
Pda806DA6Du;ba806EBDEf,14,200
Pda807024Cu;ba807F25Df,14,200
Pda8072A2Cu;ba806C01Ef,14,200
Pda807520Bu;ba802D1DFf,14,200
Pda80779EBu;ba7FD1841f,14,200
Pda807A1CAu;ba7F7E1E3f,14,200
Pda80779EBu;ba7F70723f,14,200
Pda807520Bu;ba7FB3702f,14,200
Pda8072A2Cu;baD572E78a,14,200
Pda807024Cu;ba80626FEf,14,200
Pda806DA6Du;ba807F25Df,14,200
Pda806B28Du;ba807435Df,14,200
Pda8068AADu;ba804041Ef,14,200
Pda80662CEu;ba7FE6061f,14,200
Pda8063AEEu;ba7F8A6C3f,14,200
Pda806130Fu;ba7F683E3f,14,200
Pda805EB2Fu;ba7F9C322f,14,200
Pda805C350u;ba85572E7a,14,200
Pda8059B70u;ba805621Ef,14,200
Pda8057390u;ba807B0BDf,14,200
Pda8054BB1u;ba8076F1Df,14,200
Pda80523D1u;ba804C8FEf,14,200
Pda804FBF2u;ba6AA3462a,14,200
Pda804D412u;ba7F9C322f,14,200
Pda804AC33u;ba7F699C3f,14,200
Pda8048453u;ba7F8E863f,14,200
Pda8045C73u;ba2A8D188a,14,200
Pda8043494u;ba80445BEf,14,200
Pda8040CB4u;ba807593Df,14,200
Pda803E4D5u;ba807C69Df,14,200
Pda803BCF5u;ba805CF7Ef,14,200
Pda8039516u;baC0162E0a,14,200
Pda8036D36u;ba7FB3702f,14,200
Pda8034556u;ba7F6F143f,14,200
Pda8031D77u;ba7F7E1E3f,14,200
Pda802F597u;ba7FD1841f,14,200
Pda802CDB8u;ba803137Ff,14,200
Pda802A5D8u;ba806EBDEf,14,200
Pda8027DF9u;ba807DC7Df,14,200
Pda8025619u;ba806945Ef,14,200
Pda8022E39u;ba802A61Ff,14,200
Pda802065Au;ba7FCEC81f,14,200
Pda801DE7Au;ba7F7B623f,14,200
Pda801B69Bu;ba7F70723f,14,200
Pda8018EBBu;ba7FB3702f,14,200
PdaD79CBE8n;baD01BB90a,14,200
PdaCDE0A90n;ba806111Ef,14,200
PdaC424940n;ba807C69Df,14,200
PdaBA687ECn;ba807435Df,14,200
PdaB0AC69Cn;ba8042FDEf,14,200
PdaA6F0548n;ba353B750a,14,200
Pda9D343F6n;ba7F92A02f,14,200
Pda93782A4n;ba7F699C3f,14,200
Pda89BC152n;ba7F98182f,14,200
Pda8000000 ;ba5A9DBA8a,14,200
*
