Potential (V),Current (µA),Channel
-0.50017,-225.161,0
-0.498021,-225.00700000000003,0
-0.495872,-225.00700000000003,0
-0.493724,-225.049,0
-0.491575,-225.02100000000002,0
-0.48942599999999997,-225.00700000000003,0
-0.48727699999999996,-225.035,0
-0.485128,-225.049,0
-0.482979,-225.049,0
-0.48083,-225.035,0
-0.47868099999999997,-225.06300000000002,0
-0.47653199999999996,-225.035,0
-0.474383,-225.049,0
-0.472234,-225.035,0
-0.470085,-225.02100000000002,0
-0.46793599999999996,-225.049,0
-0.465787,-225.07700000000003,0
-0.463638,-225.06300000000002,0
-0.461489,-225.07700000000003,0
-0.45933999999999997,-225.049,0
-0.45719099999999996,-225.06300000000002,0
-0.455042,-225.06300000000002,0
-0.452893,-225.049,0
-0.450744,-225.035,0
-0.44859499999999997,-225.035,0
-0.44644599999999995,-225.02100000000002,0
-0.444297,-225.091,0
-0.442148,-225.06300000000002,0
-0.439999,-225.049,0
-0.437851,-225.06300000000002,0
-0.435702,-225.049,0
-0.43355299999999997,-225.07700000000003,0
-0.43140399999999995,-225.06300000000002,0
-0.429255,-225.07700000000003,0
-0.427106,-225.07700000000003,0
-0.424957,-225.07700000000003,0
-0.42280799999999996,-225.049,0
-0.420659,-225.049,0
-0.41851,-225.07700000000003,0
-0.416361,-225.07700000000003,0
-0.41421199999999997,-225.06300000000002,0
-0.41206299999999996,-225.049,0
-0.409914,-225.035,0
-0.407765,-225.049,0
-0.405616,-225.035,0
-0.40346699999999996,-225.06300000000002,0
-0.401318,-225.07700000000003,0
-0.399169,-225.06300000000002,0
-0.39702,-225.07700000000003,0
-0.39487099999999997,-225.049,0
-0.39272199999999996,-225.049,0
-0.390573,-225.06300000000002,0
-0.388424,-225.091,0
-0.386275,-225.049,0
-0.38412599999999997,-225.049,0
-0.38197699999999996,-225.06300000000002,0
-0.37982899999999997,-225.02100000000002,0
-0.37767999999999996,-225.049,0
-0.375531,-225.049,0
-0.373382,-225.06300000000002,0
-0.371233,-225.07700000000003,0
