Potential (V),Current (µA)
-0.846691,-462.837
-0.836483,-462.837
-0.826275,-462.837
-0.816068,-462.837
-0.8058599999999999,-462.5570000000001
-0.7956529999999999,-462.5570000000001
-0.785445,-462.837
-0.775238,-462.837
-0.76503,-462.837
-0.754822,-462.837
-0.7446149999999999,-462.837
-0.7344069999999999,-462.837
-0.7242,-462.837
-0.713992,-462.5570000000001
-0.703785,-462.837
0.051575092,-462.837
0.06178266,-462.837
0.071990232,-462.837
0.0821978,-462.837
0.092405368,-462.837
0.102612,-462.5570000000001
0.11281999999999999,-462.5570000000001
0.123028,-462.5570000000001
0.133235,-462.5570000000001
0.143443,-462.5570000000001
0.15364999999999998,-462.837
0.163858,-462.837
0.174065,-462.837
0.184273,-462.837
0.194481,-462.837
0.20468799999999998,-462.837
0.214896,-462.837
0.225103,-462.837
0.235311,-462.837
0.245518,-462.5570000000001
0.255726,-462.837
