Potential (V),Current (µA),Channel
-0.50017,-227.079,0
-0.498021,-227.079,0
-0.495872,-227.079,0
-0.493724,-227.079,0
-0.491575,-227.079,0
-0.48942599999999997,-227.079,0
-0.48727699999999996,-227.079,0
-0.485128,-227.079,0
-0.482979,-227.079,0
-0.48083,-227.079,0
-0.47868099999999997,-227.079,0
-0.47653199999999996,-227.079,0
-0.474383,-227.079,0
-0.472234,-227.079,0
-0.470085,-227.079,0
-0.46793599999999996,-227.079,0
-0.465787,-227.079,0
-0.463638,-226.79900000000004,0
-0.461489,-227.079,0
-0.45933999999999997,-227.079,0
-0.45719099999999996,-227.079,0
-0.455042,-226.79900000000004,0
-0.452893,-227.079,0
-0.450744,-227.079,0
-0.44859499999999997,-227.079,0
-0.44644599999999995,-227.079,0
-0.444297,-227.079,0
-0.442148,-227.079,0
-0.439999,-227.079,0
-0.437851,-227.079,0
-0.435702,-227.079,0
-0.43355299999999997,-227.079,0
-0.43140399999999995,-227.079,0
-0.429255,-227.079,0
-0.427106,-227.079,0
-0.424957,-227.079,0
-0.42280799999999996,-227.079,0
-0.420659,-227.079,0
-0.41851,-227.079,0
-0.416361,-227.079,0
-0.41421199999999997,-227.079,0
-0.41206299999999996,-227.079,0
-0.409914,-227.079,0
-0.407765,-227.079,0
-0.405616,-227.079,0
-0.40346699999999996,-227.079,0
-0.401318,-227.079,0
-0.399169,-227.079,0
-0.39702,-227.079,0
-0.39487099999999997,-227.079,0
-0.39272199999999996,-227.079,0
-0.390573,-227.079,0
-0.388424,-227.079,0
-0.386275,-227.079,0
-0.38412599999999997,-227.079,0
-0.38197699999999996,-227.079,0
-0.37982899999999997,-227.079,0
-0.37767999999999996,-227.079,0
-0.375531,-227.079,0
-0.373382,-227.079,0
-0.371233,-227.079,0
-0.36908399999999997,-227.079,0
-0.36693499999999996,-227.079,0
-0.364786,-227.079,0
-0.362637,-227.079,0
-0.360488,-227.079,0
-0.35833899999999996,-227.079,0
-0.35619,-227.079,0
-0.354041,-227.079,0
-0.351892,-227.079,0
-0.34974299999999997,-227.079,0
-0.34759399999999996,-227.079,0
-0.345445,-227.079,0
-0.343296,-226.79900000000004,0
-0.341147,-227.079,0
-0.33899799999999997,-227.079,0
-0.336849,-226.79900000000004,0
-0.3347,-227.079,0
-0.332551,-227.079,0
-0.330402,-227.079,0
-0.32825299999999996,-227.079,0
-0.326104,-227.079,0
-0.32395599999999997,-227.079,0
-0.321807,-227.079,0
-0.319658,-227.079,0
-0.317509,-227.079,0
-0.31536,-227.079,0
-0.31321099999999996,-227.079,0
-0.311062,-227.079,0
-0.308913,-227.079,0
-0.306764,-227.079,0
-0.30461499999999997,-227.079,0
-0.302466,-227.079,0
-0.300317,-227.079,0
-0.298168,-227.079,0
-0.296019,-226.79900000000004,0
-0.29386999999999996,-227.079,0
-0.291721,-227.079,0
-0.289572,-227.079,0
-0.287423,-227.079,0
-0.28527399999999997,-227.079,0
-0.28312499999999996,-227.079,0
-0.280976,-227.079,0
-0.278827,-227.079,0
-0.276678,-227.079,0
-0.27452899999999997,-227.079,0
-0.27238,-227.079,0
-0.270231,-227.079,0
-0.26808299999999996,-227.079,0
-0.265934,-227.079,0
-0.263785,-227.079,0
-0.261636,-227.079,0
-0.25948699999999997,-227.079,0
-0.257338,-227.079,0
-0.255189,-227.079,0
-0.25304,-227.079,0
-0.250891,-227.079,0
-0.248742,-227.079,0
-0.24659299999999998,-227.079,0
-0.244444,-227.079,0
-0.24229499999999998,-227.079,0
-0.240146,-227.359,0
-0.237997,-227.079,0
-0.235848,-227.079,0
-0.233699,-227.079,0
-0.23154999999999998,-227.079,0
-0.229401,-227.079,0
-0.22725199999999998,-227.079,0
-0.225103,-227.079,0
-0.22295399999999999,-227.079,0
-0.220805,-227.079,0
-0.218656,-227.079,0
-0.21650699999999998,-227.079,0
-0.214358,-227.079,0
-0.21220999999999998,-227.079,0
-0.210061,-227.079,0
-0.20791199999999999,-227.079,0
-0.205763,-227.079,0
-0.203614,-227.079,0
-0.20146499999999998,-227.079,0
-0.199316,-227.079,0
-0.19716699999999998,-227.079,0
-0.195018,-227.079,0
-0.19286899999999998,-227.079,0
-0.19072,-227.079,0
-0.188571,-224.839,0
-0.186422,-215.87900000000002,0
-0.184273,-202.71900000000002,0
-0.18212399999999998,-188.159,0
-0.179975,-173.599,0
-0.17782599999999998,-159.03900000000002,0
-0.175677,-144.479,0
-0.173528,-129.919,0
-0.171379,-115.69500000000001,0
-0.16923,-101.35900000000001,0
-0.16708099999999998,-87.079608,0
-0.164932,-72.799672,0
-0.16278299999999998,-58.519736,0
-0.160634,-44.239804,0
-0.158485,-30.015866,0
-0.156336,-15.735929999999998,0
-0.154188,-1.567993,0
-0.15203899999999998,12.263945,0
-0.14989,26.543882,0
-0.14774099999999998,40.76782,0
-0.145592,50.567772,0
-0.143443,56.615747999999996,0
-0.141294,62.10372400000001,0
-0.139145,66.975696,0
-0.136996,71.28768000000001,0
-0.134847,75.151664,0
-0.13269799999999998,78.679648,0
-0.130549,81.815632,0
-0.1284,84.727624,0
-0.126251,87.415608,0
-0.12410199999999999,89.879592,0
-0.12195299999999999,92.175584,0
-0.119804,94.359576,0
-0.117655,96.43155999999999,0
-0.115506,98.72756,0
-0.113357,100.74300000000001,0
-0.111208,102.647,0
-0.10905899999999999,104.43900000000001,0
-0.10690999999999999,106.119,0
-0.10476099999999999,107.687,0
-0.102612,109.14300000000001,0
-0.100463,110.487,0
-0.098315016,111.775,0
-0.096166048,112.89500000000001,0
-0.09401709600000001,114.07100000000001,0
-0.091868136,115.135,0
-0.089719168,116.143,0
-0.08757020800000001,117.039,0
-0.08542124000000001,118.047,0
-0.08327228,118.943,0
-0.08112332,120.119,0
-0.07897436000000001,121.12700000000001,0
-0.076825392,121.96700000000001,0
-0.074676432,122.75100000000002,0
-0.07252747200000001,123.47900000000001,0
-0.070378512,124.20700000000001,0
-0.068229552,124.76700000000002,0
-0.066080584,125.27100000000002,0
-0.06393162000000001,125.71900000000002,0
-0.06178266,126.05499999999999,0
-0.059633700000000005,126.33500000000002,0
-0.057484736,126.55900000000003,0
-0.055335776,126.783,0
-0.053186812,127.17500000000001,0
-0.051037852,127.79100000000001,0
-0.048888888000000005,128.631,0
-0.046739924,130.087,0
-0.044590964000000004,131.43099999999998,0
-0.042442,132.327,0
-0.040293036000000004,133.11100000000002,0
-0.038144080000000004,133.279,0
-0.035995116,133.11100000000002,0
-0.033846156,132.27100000000002,0
-0.031697192,132.215,0
-0.02954823,131.879,0
-0.027399266000000002,131.711,0
-0.025250304,129.751,0
-0.023101342,120.119,0
-0.020952382000000002,118.887,0
-0.018803418000000002,113.399,0
-0.016654456,108.07900000000001,0
-0.014505494,117.543,0
-0.012356532,127.28700000000002,0
-0.010207570000000001,134.399,0
-0.008058607,134.959,0
-0.005909646,131.59900000000002,0
-0.0037606830000000003,124.82300000000001,0
-0.0016117210000000002,129.751,0
0.00053724,134.34300000000002,0
0.0026862020000000004,135.74300000000002,0
0.004835164,136.191,0
0.0069841270000000006,134.623,0
0.009133089,127.903,0
0.011282051000000001,116.423,0
0.013431014000000002,114.91100000000002,0
0.015579975000000001,130.815,0
0.017728938,135.74300000000002,0
0.0198779,136.079,0
0.022026862,133.11100000000002,0
0.024175824000000002,129.359,0
0.026324786000000003,128.46300000000002,0
0.028473748,128.575,0
0.03062271,126.67100000000002,0
0.032771674,117.543,0
0.034920632,108.02300000000001,0
0.037069596,94.135576,0
0.03921856,89.48759199999999,0
0.041367520000000005,82.31962399999999,0
0.043516484,89.31960000000001,0
0.045665448000000004,119.167,0
0.047814408,129.30300000000003,0
0.049963368,128.35100000000003,0
0.052112328000000006,124.31900000000002,0
0.054261292,118.887,0
0.056410256000000006,126.503,0
0.058559216000000004,132.103,0
0.06070818,134.34300000000002,0
0.062857144,131.09500000000003,0
0.065006108,128.68699999999998,0
0.067155064,132.215,0
0.069304024,135.519,0
0.071452992,139.215,0
0.073601952,135.967,0
0.07575092,131.31900000000002,0
0.07789987200000001,129.079,0
0.08004884000000001,131.879,0
0.0821978,135.85500000000002,0
0.08434676,137.87099999999998,0
0.08649572800000001,133.22299999999998,0
0.088644688,129.023,0
0.090793648,123.647,0
0.09294260800000001,127.679,0
0.09509157600000001,134.847,0
0.097240536,136.415,0
0.099389504,134.34300000000002,0
0.10153799999999999,132.943,0
0.103687,132.103,0
0.105836,131.543,0
0.107985,131.31900000000002,0
0.110134,130.983,0
0.112283,131.151,0
0.11443199999999999,131.823,0
0.11658099999999999,132.327,0
0.11872999999999999,132.27100000000002,0
0.120879,132.04700000000003,0
0.123028,132.15900000000002,0
0.12517699999999998,132.383,0
0.127326,132.103,0
0.129474,131.93500000000003,0
0.131623,131.93500000000003,0
0.133772,131.543,0
0.135921,130.983,0
0.13807,130.311,0
0.14021899999999998,129.69500000000002,0
0.142368,129.247,0
0.144517,130.087,0
0.146666,131.151,0
0.148815,131.655,0
0.150964,131.543,0
0.153113,131.151,0
0.15526199999999998,130.815,0
0.157411,130.535,0
0.15955999999999998,130.47899999999998,0
0.161709,130.25500000000002,0
0.163858,130.14300000000003,0
0.166007,130.14300000000003,0
0.168156,130.14300000000003,0
0.17030499999999998,130.087,0
0.172454,129.975,0
0.17460299999999998,129.919,0
0.176752,129.583,0
0.178901,129.41500000000002,0
0.18105,130.423,0
0.183199,131.151,0
0.18534699999999998,131.43099999999998,0
0.187496,131.823,0
