Potential (V),Current (µA)
-0.400244,-1.1199949999999999
-0.398095,-0.839996
-0.39594599999999996,-0.559997
-0.393797,-0.279998
-0.391648,-0.279998
-0.389499,-0.279998
-0.38734999999999997,-0.223999
-0.38520099999999996,-0.195999
-0.383052,-0.195999
-0.380903,-0.16799899999999998
-0.378754,-0.153999
-0.37660499999999997,-0.139999
-0.37445599999999996,-0.13299899999999998
-0.372307,-0.125999
-0.370158,-0.125999
-0.368009,-0.122499
-0.36585999999999996,-0.118999
-0.363711,-0.122499
-0.361562,-0.11374899999999999
-0.359413,-0.11549899999999999
-0.35726399999999997,-0.110249
-0.35511499999999996,-0.102374
-0.352967,-0.09799956800000001
-0.35081799999999996,-0.09012460000000001
-0.348669,-0.08531212
-0.34652,-0.07524966400000001
-0.344371,-0.069999688
-0.34222199999999997,-0.068030952
-0.34007299999999996,-0.066062208
-0.337924,-0.071312184
-0.335775,-0.11484299999999999
-0.333626,-0.118343
-0.33147699999999997,-0.126218
-0.329328,-0.124796
-0.327179,-0.130374
-0.32503,-0.12928
-0.322881,-0.12490499999999999
-0.32073199999999996,-0.121952
-0.318583,-0.11188999999999999
-0.316434,-0.107405
-0.314285,-0.09668707200000001
-0.31213599999999997,-0.08257776
-0.309987,-0.072734056
-0.307838,-0.063109092
-0.305689,-0.06704658000000001
-0.30354,-0.07535904
-0.30139099999999996,-0.087499616
-0.299242,-0.08979648000000001
-0.29709399999999997,-0.097233944
-0.294945,-0.102812
-0.292796,-0.10478
-0.290647,-0.100952
-0.288498,-0.10303
-0.28634899999999996,-0.09548395200000001
-0.2842,-0.094171456
-0.282051,-0.085093368
-0.279902,-0.079405896
-0.27775299999999997,-0.06507783600000001
-0.27560399999999996,-0.054796632000000005
-0.273455,-0.048562284000000004
-0.271306,-0.051952896000000005
-0.269157,-0.061249732
-0.26700799999999997,-0.068359072
-0.264859,-0.075577792
-0.26271,-0.084437128
-0.260561,-0.087171488
-0.258412,-0.094171456
-0.25626299999999996,-0.08892148000000001
-0.254114,-0.089358976
-0.251965,-0.088155856
-0.24981599999999998,-0.082468384
-0.247667,-0.07240592800000001
-0.245518,-0.065624704
-0.243369,-0.056327876000000006
-0.24122,-0.04703104
-0.23907199999999998,-0.03849982800000001
-0.236923,-0.046484168
-0.23477399999999998,-0.05315601200000001
-0.232625,-0.058187244
-0.230476,-0.06934344800000002
-0.228327,-0.07459341600000001
-0.226178,-0.08170276
-0.22402899999999998,-0.082796504
-0.22188,-0.082249632
-0.21973099999999998,-0.08235900800000001
-0.217582,-0.07995276800000001
-0.21543299999999999,-0.074921544
-0.213284,-0.06923407200000001
-0.211135,-0.057202872
-0.20898599999999998,-0.051406020000000004
-0.206837,-0.041671692
-0.20468799999999998,-0.036093588
-0.202539,-0.03849982800000001
-0.20038999999999998,-0.04670292000000001
-0.198241,-0.056984124000000004
-0.196092,-0.06103097600000001
-0.193943,-0.071859056
-0.191794,-0.075905912
-0.18964499999999998,-0.07503092
-0.187496,-0.07787465600000001
-0.18534699999999998,-0.076452784
-0.183199,-0.07601528800000001
-0.18105,-0.06912468800000002
-0.178901,-0.062890344
-0.176752,-0.055890376000000005
-0.17460299999999998,-0.044952928
-0.172454,-0.041890436
-0.17030499999999998,-0.032812352
-0.168156,-0.034343596000000004
-0.166007,-0.044077928
-0.163858,-0.05206226800000001
-0.161709,-0.059171612000000005
-0.15955999999999998,-0.06540596000000001
-0.157411,-0.07240592800000001
-0.15526199999999998,-0.07306217599999999
-0.153113,-0.072187176
-0.150964,-0.07656216
-0.148815,-0.069780936
-0.146666,-0.065296584
-0.144517,-0.059280988
-0.142368,-0.051406020000000004
-0.14021899999999998,-0.043968556000000006
-0.13807,-0.037187336
-0.135921,-0.032046732
-0.133772,-0.034999844
-0.131623,-0.040577944000000005
-0.129474,-0.05129664800000001
-0.127326,-0.05567162800000001
-0.12517699999999998,-0.062234096
-0.123028,-0.064968464
-0.120879,-0.07054656000000001
-0.11872999999999999,-0.07054656000000001
-0.11658099999999999,-0.069452816
-0.11443199999999999,-0.070109064
-0.112283,-0.060921604
-0.110134,-0.05567162800000001
-0.107985,-0.0506404
-0.105836,-0.041124816
-0.103687,-0.034452972000000005
-0.10153799999999999,-0.028765498000000004
-0.099389504,-0.033577976
-0.097240536,-0.038609204
-0.09509157600000001,-0.047687288
-0.09294260800000001,-0.053921636
-0.090793648,-0.06059348
-0.088644688,-0.06015598400000001
-0.08649572800000001,-0.069999688
-0.08434676,-0.06518721200000001
-0.0821978,-0.06682782400000001
-0.08004884000000001,-0.063109092
-0.07789987200000001,-0.059499736000000004
-0.07575092,-0.05249976800000001
-0.073601952,-0.046593544
-0.071452992,-0.041890436
-0.069304024,-0.034343596000000004
-0.067155064,-0.026140508
-0.065006108,-0.03456234400000001
-0.062857144,-0.038609204
-0.06070818,-0.043312308
-0.058559216000000004,-0.049765404000000006
-0.056410256000000006,-0.05501538
-0.054261292,-0.061905976
-0.052112328000000006,-0.06146848
-0.049963368,-0.0678122
-0.047814408,-0.061577852
-0.045665448000000004,-0.06081222800000001
-0.043516484,-0.056874748
-0.041367520000000005,-0.05162476800000001
-0.03921856,-0.044077928
-0.037069596,-0.037624832000000004
-0.034920632,-0.032374858000000006
-0.032771674,-0.029312370000000004
-0.03062271,-0.030843614000000005
-0.028473748,-0.039921700000000004
-0.026324786000000003,-0.041015444000000005
