Time (s),Potential (V),Current (uA)
0.0,-0.400244,-0.006999969000000001
0.009879557,-0.401318,-0.006999969000000001
0.019759114,-0.402393,-0.006999969000000001
0.029638672,-0.40346699999999996,-0.0034999840000000003
0.039518228,-0.40454199999999996,-0.006999969000000001
0.049397788000000005,-0.405616,-0.006999969000000001
0.059277348,-0.40669099999999997,-0.006999969000000001
0.069156904,-0.407765,-0.0034999840000000003
0.079036464,-0.40884,-0.006999969000000001
0.08891602400000001,-0.409914,-0.006999969000000001
0.098795584,-0.410989,-0.0034999840000000003
0.108675,-0.41206299999999996,-0.0034999840000000003
0.11855399999999999,-0.413137,-0.0034999840000000003
0.128434,-0.41421199999999997,-0.0034999840000000003
0.138313,-0.415286,-0.006999969000000001
0.148193,-0.416361,-0.006999969000000001
0.158072,-0.417435,-0.0034999840000000003
0.167952,-0.41851,-0.0034999840000000003
0.177832,-0.41958399999999996,-0.0034999840000000003
0.187711,-0.420659,-0.0034999840000000003
0.197591,-0.42173299999999997,-0.0034999840000000003
0.20747,-0.42280799999999996,-0.0034999840000000003
0.21735,-0.423882,-0.0034999840000000003
0.227229,-0.424957,-0.0034999840000000003
0.237109,-0.426031,-0.0034999840000000003
0.24698799999999999,-0.427106,-0.006999969000000001
0.256868,-0.42818,-0.006999969000000001
0.266748,-0.429255,-0.006999969000000001
0.276627,-0.43032899999999996,-0.006999969000000001
0.286507,-0.43140399999999995,-0.0034999840000000003
0.296386,-0.432478,-0.006999969000000001
0.306266,-0.43355299999999997,-0.006999969000000001
0.316145,-0.434627,-0.0034999840000000003
0.326025,-0.435702,-0.0034999840000000003
0.335904,-0.436776,-0.0034999840000000003
0.345784,-0.437851,-0.0034999840000000003
0.355664,-0.43892499999999995,-0.0034999840000000003
0.365543,-0.439999,-0.0034999840000000003
0.375423,-0.44107399999999997,-0.0034999840000000003
0.385302,-0.442148,-0.0034999840000000003
0.395182,-0.443223,-0.0034999840000000003
0.405061,-0.444297,-0.0034999840000000003
0.414941,-0.445372,-0.0034999840000000003
0.424821,-0.44644599999999995,-0.0034999840000000003
0.4347,-0.447521,-0.0034999840000000003
0.44458,-0.44859499999999997,-0.0034999840000000003
0.454459,-0.44966999999999996,-0.0034999840000000003
0.464339,-0.450744,-0.006999969000000001
0.474218,-0.45181899999999997,-0.0034999840000000003
0.484098,-0.452893,-0.006999969000000001
0.493977,-0.453968,-0.0034999840000000003
0.503857,-0.455042,-0.0034999840000000003
0.513737,-0.456117,-0.0034999840000000003
0.523616,-0.45719099999999996,-0.0034999840000000003
0.533496,-0.458266,-0.006999969000000001
