Time (s),Potential (V),Current (uA)
0.0,-0.400244,-0.017499922
0.009879557,-0.390036,-0.006999969000000001
0.019759114,-0.37982899999999997,-0.0034999840000000003
0.029638672,-0.369621,-0.0034999840000000003
0.039518228,-0.359413,0.0
0.049397788000000005,-0.34920599999999996,0.0
0.059277348,-0.33899799999999997,0.0
0.069156904,-0.328791,0.0
0.079036464,-0.318583,0.0
0.08891602400000001,-0.308376,0.0
0.098795584,-0.298168,0.0
0.108675,-0.28796,0.0
0.11855399999999999,-0.27775299999999997,0.0
0.128434,-0.267545,0.0
0.138313,-0.257338,0.0
0.148193,-0.24713,0.0
0.158072,-0.236923,0.0
0.167952,-0.226715,0.0
0.177832,-0.21650699999999998,0.0
0.187711,-0.20629999999999998,0.0
0.197591,-0.196092,0.0
0.20747,-0.185885,0.0
0.21735,-0.175677,0.0
0.227229,-0.16547,0.0
0.237109,-0.15526199999999998,0.0
0.24698799999999999,-0.145054,0.0
0.256868,-0.134847,0.0
0.266748,-0.124639,0.0
0.276627,-0.11443199999999999,0.0
0.286507,-0.104224,0.0
0.296386,-0.09401709600000001,0.0
0.306266,-0.08380952800000001,0.0
0.316145,-0.073601952,0.0
0.326025,-0.063394384,0.0
0.335904,-0.053186812,0.0
0.345784,-0.04297924,0.0
0.355664,-0.032771674,0.0034999840000000003
0.365543,-0.022564102000000003,0.0034999840000000003
0.375423,-0.012356532,0.0034999840000000003
0.385302,-0.002148962,0.0034999840000000003
0.395182,0.008058607,0.0034999840000000003
0.405061,0.018266178,0.0034999840000000003
0.414941,0.028473748,0.0034999840000000003
0.424821,0.038681316,0.006999969000000001
0.4347,0.048888888000000005,0.006999969000000001
0.44458,0.05909646,0.010499954000000002
0.454459,0.069304024,0.010499954000000002
0.464339,0.0795116,0.010499954000000002
0.474218,0.089719168,0.013999938000000002
0.484098,0.099926736,0.013999938000000002
0.493977,0.110134,0.017499922
0.503857,0.12034099999999999,0.020999908000000005
0.513737,0.130549,0.024499892000000002
0.523616,0.140757,0.027999876000000003
0.533496,0.150964,0.03149986
0.5433749999999999,0.16117199999999998,0.03849982800000001
0.5532549999999999,0.171379,0.04199981600000001
0.563134,0.181587,0.048999784000000005
0.573014,0.191794,0.059499736000000004
0.582893,0.202002,0.066499704
0.592773,0.21220999999999998,0.07699965600000001
0.602652,0.222417,0.08399963200000002
0.612532,0.232625,0.09799956800000001
0.6224109999999999,0.242832,0.108499
0.6322909999999999,0.25304,0.125999
0.64217,0.263247,0.139999
0.65205,0.273455,0.157499
0.661929,0.283663,0.17149899999999998
0.671809,0.29386999999999996,0.18899899999999997
0.681689,0.30407799999999996,0.206499
0.691568,0.314285,0.223999
0.701448,0.324493,0.241498
0.7113269999999999,0.3347,0.25899799999999995
0.7212069999999999,0.344908,0.272998
0.731086,0.35511499999999996,0.28699800000000003
0.740966,0.365323,0.300998
0.750845,0.375531,0.314998
0.760725,0.38573799999999997,0.328998
0.770604,0.39594599999999996,0.33949799999999997
0.780484,0.406153,0.353498
0.7903629999999999,0.416361,0.367498
0.8002429999999999,0.426568,0.37799799999999995
0.810122,0.436776,0.391998
0.820002,0.446984,0.402498
0.829881,0.45719099999999996,0.412998
0.839761,0.46739899999999995,0.423498
0.849641,0.477606,0.430498
0.85952,0.48781399999999997,0.433998
0.8694,0.498021,0.440998
0.8792789999999999,0.5082289999999999,0.444498
0.8891589999999999,0.5184369999999999,0.447998
0.899038,0.528644,0.45149700000000004
0.908918,0.538852,0.458497
0.918797,0.549059,0.461997
0.928677,0.559267,0.468997
0.938556,0.5694739999999999,0.47949699999999995
0.948436,0.5796819999999999,0.48649699999999996
0.9583149999999999,0.58989,0.5004970000000001
0.9681949999999999,0.600097,0.514497
0.978074,0.610305,0.5319969999999999
0.987954,0.620512,0.556497
0.997833,0.63072,0.587997
1.0077129999999999,0.640927,0.622997
1.017593,0.651135,0.668497
1.027472,0.661343,0.724496
1.037352,0.67155,0.797996
1.047231,0.681758,0.8854960000000001
1.057111,0.6919649999999999,1.0009949999999999
1.066991,0.7021729999999999,1.137494
1.07687,0.71238,1.308994
1.0867499999999999,0.722588,1.518993
1.0966289999999999,0.732796,1.774492
1.106509,0.743003,2.08249
1.1163889999999999,0.753211,2.4499889999999995
1.126268,0.7634179999999999,2.866487
1.136148,0.7736259999999999,3.321485
1.146027,0.783833,3.793983
1.155907,0.794041,4.252481
1.165786,0.804249,4.647979
