hypothetical_route,time_s,command_V,effective_cell_V,WE0_current_A,CE_relative_WE_V
WE0_RE0_CE0,0.0,-0.1,-0.1,-9.9e-06,0.10990000000000001
WE0_RE0_CE0,0.002,-0.0998,-0.0998,-9.879999999999999e-06,0.10968
WE0_RE0_CE0,0.004,-0.09960000000000001,-0.09960000000000001,-9.86e-06,0.10946
WE0_RE0_CE0,0.006,-0.0994,-0.0994,-9.839999999999999e-06,0.10924
WE0_RE0_CE0,0.008,-0.09920000000000001,-0.09920000000000001,-9.820000000000001e-06,0.10902
WE0_RE0_CE0,0.01,-0.099,-0.099,-9.8e-06,0.10880000000000001
WE0_RE0_CE0,0.012,-0.0988,-0.0988,-9.78e-06,0.10858
WE0_RE0_CE0,0.014,-0.09860000000000001,-0.09860000000000001,-9.76e-06,0.10836000000000001
WE0_RE0_CE0,0.016,-0.0984,-0.0984,-9.74e-06,0.10814
WE0_RE0_CE0,0.018000000000000002,-0.09820000000000001,-0.09820000000000001,-9.72e-06,0.10792000000000002
WE0_RE0_CE0,0.02,-0.098,-0.098,-9.7e-06,0.1077
WE0_RE0_CE0,0.022,-0.09780000000000001,-0.09780000000000001,-9.68e-06,0.10748000000000002
WE0_RE0_CE0,0.024,-0.0976,-0.0976,-9.66e-06,0.10726000000000001
WE0_RE0_CE0,0.026000000000000002,-0.0974,-0.0974,-9.64e-06,0.10704
WE0_RE0_CE0,0.028,-0.09720000000000001,-0.09720000000000001,-9.62e-06,0.10682000000000001
WE0_RE0_CE0,0.03,-0.097,-0.097,-9.6e-06,0.1066
WE0_RE0_CE0,0.032,-0.09680000000000001,-0.09680000000000001,-9.58e-06,0.10638000000000002
WE0_RE0_CE0,0.034,-0.0966,-0.0966,-9.56e-06,0.10616
WE0_RE0_CE0,0.036000000000000004,-0.0964,-0.0964,-9.539999999999998e-06,0.10593999999999999
WE0_RE0_CE0,0.038,-0.09620000000000001,-0.09620000000000001,-9.52e-06,0.10572000000000001
WE0_RE0_CE0,0.04,-0.096,-0.096,-9.499999999999999e-06,0.1055
WE0_RE0_CE0,0.042,-0.09580000000000001,-0.09580000000000001,-9.48e-06,0.10528000000000001
WE0_RE0_CE0,0.044,-0.0956,-0.0956,-9.46e-06,0.10506
WE0_RE0_CE0,0.046,-0.09540000000000001,-0.09540000000000001,-9.440000000000001e-06,0.10484000000000002
WE0_RE0_CE0,0.048,-0.0952,-0.0952,-9.42e-06,0.10462
WE0_RE0_CE0,0.05,-0.095,-0.095,-9.4e-06,0.1044
WE0_RE0_CE0,0.052000000000000005,-0.09480000000000001,-0.09480000000000001,-9.38e-06,0.10418000000000001
WE0_RE0_CE0,0.054,-0.0946,-0.0946,-9.36e-06,0.10396
WE0_RE0_CE0,0.056,-0.09440000000000001,-0.09440000000000001,-9.34e-06,0.10374000000000001
WE0_RE0_CE0,0.058,-0.0942,-0.0942,-9.32e-06,0.10352
WE0_RE0_CE0,0.06,-0.094,-0.094,-9.299999999999999e-06,0.1033
WE0_RE0_CE0,0.062,-0.09380000000000001,-0.09380000000000001,-9.280000000000001e-06,0.10308
WE0_RE0_CE0,0.064,-0.0936,-0.0936,-9.26e-06,0.10286000000000001
WE0_RE0_CE0,0.066,-0.09340000000000001,-0.09340000000000001,-9.24e-06,0.10264000000000001
WE0_RE0_CE0,0.068,-0.0932,-0.0932,-9.22e-06,0.10242000000000001
WE0_RE0_CE0,0.07,-0.093,-0.093,-9.2e-06,0.1022
WE0_RE0_CE0,0.07200000000000001,-0.09280000000000001,-0.09280000000000001,-9.18e-06,0.10198000000000002
WE0_RE0_CE0,0.074,-0.0926,-0.0926,-9.159999999999999e-06,0.10176
WE0_RE0_CE0,0.076,-0.09240000000000001,-0.09240000000000001,-9.14e-06,0.10154
WE0_RE0_CE0,0.078,-0.0922,-0.0922,-9.119999999999999e-06,0.10132000000000001
WE0_RE0_CE0,0.08,-0.092,-0.092,-9.1e-06,0.1011
WE0_RE0_CE0,0.082,-0.0918,-0.0918,-9.08e-06,0.10088000000000001
WE0_RE0_CE0,0.084,-0.0916,-0.0916,-9.06e-06,0.10066
WE0_RE0_CE0,0.08600000000000001,-0.09140000000000001,-0.09140000000000001,-9.04e-06,0.10044
WE0_RE0_CE0,0.088,-0.0912,-0.0912,-9.02e-06,0.10022
WE0_RE0_CE0,0.09,-0.09100000000000001,-0.09100000000000001,-9e-06,0.1
WE0_RE0_CE0,0.092,-0.0908,-0.0908,-8.98e-06,0.09978000000000001
WE0_RE0_CE0,0.094,-0.0906,-0.0906,-8.959999999999999e-06,0.09956
WE0_RE0_CE0,0.096,-0.09040000000000001,-0.09040000000000001,-8.94e-06,0.09934000000000001
WE0_RE0_CE0,0.098,-0.0902,-0.0902,-8.92e-06,0.09912
WE0_RE0_CE0,0.1,-0.09,-0.09,-8.9e-06,0.0989
WE0_RE0_CE0,0.10200000000000001,-0.0898,-0.0898,-8.88e-06,0.09868
WE0_RE0_CE0,0.10400000000000001,-0.0896,-0.0896,-8.86e-06,0.09845999999999999
WE0_RE0_CE0,0.106,-0.08940000000000001,-0.08940000000000001,-8.84e-06,0.09824000000000001
WE0_RE0_CE0,0.108,-0.0892,-0.0892,-8.82e-06,0.09802
WE0_RE0_CE0,0.11,-0.08900000000000001,-0.08900000000000001,-8.8e-06,0.09780000000000001
WE0_RE0_CE0,0.112,-0.0888,-0.0888,-8.779999999999999e-06,0.09758
WE0_RE0_CE0,0.114,-0.08860000000000001,-0.08860000000000001,-8.76e-06,0.09736000000000002
WE0_RE0_CE0,0.116,-0.0884,-0.0884,-8.74e-06,0.09714
WE0_RE0_CE0,0.11800000000000001,-0.0882,-0.0882,-8.72e-06,0.09692
WE0_RE0_CE0,0.12,-0.08800000000000001,-0.08800000000000001,-8.7e-06,0.09670000000000001
WE0_RE0_CE0,0.122,-0.0878,-0.0878,-8.68e-06,0.09648000000000001
WE0_RE0_CE0,0.124,-0.08760000000000001,-0.08760000000000001,-8.66e-06,0.09626000000000001
WE0_RE0_CE0,0.126,-0.0874,-0.0874,-8.64e-06,0.09604
WE0_RE0_CE0,0.128,-0.0872,-0.0872,-8.619999999999999e-06,0.09582
WE0_RE0_CE0,0.13,-0.08700000000000001,-0.08700000000000001,-8.6e-06,0.0956
WE0_RE0_CE0,0.132,-0.0868,-0.0868,-8.58e-06,0.09538
WE0_RE0_CE0,0.134,-0.08660000000000001,-0.08660000000000001,-8.560000000000001e-06,0.09516000000000001
WE0_RE0_CE0,0.136,-0.0864,-0.0864,-8.54e-06,0.09494
WE0_RE0_CE0,0.138,-0.0862,-0.0862,-8.52e-06,0.09472
WE0_RE0_CE0,0.14,-0.08600000000000001,-0.08600000000000001,-8.5e-06,0.0945
WE0_RE0_CE0,0.14200000000000002,-0.0858,-0.0858,-8.48e-06,0.09428
WE0_RE0_CE0,0.14400000000000002,-0.08560000000000001,-0.08560000000000001,-8.46e-06,0.09406
WE0_RE0_CE0,0.146,-0.0854,-0.0854,-8.439999999999999e-06,0.09384
WE0_RE0_CE0,0.148,-0.0852,-0.0852,-8.419999999999999e-06,0.09362
WE0_RE0_CE0,0.15,-0.085,-0.085,-8.4e-06,0.09340000000000001
WE0_RE0_CE0,0.152,-0.0848,-0.0848,-8.38e-06,0.09318
WE0_RE0_CE0,0.154,-0.08460000000000001,-0.08460000000000001,-8.36e-06,0.09296000000000001
WE0_RE0_CE0,0.156,-0.0844,-0.0844,-8.34e-06,0.09274
WE0_RE0_CE0,0.158,-0.0842,-0.0842,-8.319999999999998e-06,0.09251999999999999
WE0_RE0_CE0,0.16,-0.084,-0.084,-8.3e-06,0.09230000000000001
WE0_RE0_CE0,0.162,-0.0838,-0.0838,-8.279999999999999e-06,0.09208
WE0_RE0_CE0,0.164,-0.08360000000000001,-0.08360000000000001,-8.26e-06,0.09186000000000001
WE0_RE0_CE0,0.166,-0.0834,-0.0834,-8.239999999999999e-06,0.09164
WE0_RE0_CE0,0.168,-0.0832,-0.0832,-8.22e-06,0.09142
WE0_RE0_CE0,0.17,-0.083,-0.083,-8.2e-06,0.0912
WE0_RE0_CE0,0.17200000000000001,-0.0828,-0.0828,-8.18e-06,0.09098
WE0_RE0_CE0,0.17400000000000002,-0.0826,-0.0826,-8.16e-06,0.09076000000000001
WE0_RE0_CE0,0.176,-0.0824,-0.0824,-8.14e-06,0.09054
WE0_RE0_CE0,0.178,-0.08220000000000001,-0.08220000000000001,-8.12e-06,0.09032000000000001
WE0_RE0_CE0,0.18,-0.082,-0.082,-8.1e-06,0.0901
WE0_RE0_CE0,0.182,-0.08180000000000001,-0.08180000000000001,-8.08e-06,0.08988000000000002
WE0_RE0_CE0,0.184,-0.0816,-0.0816,-8.059999999999999e-06,0.08966
WE0_RE0_CE0,0.186,-0.0814,-0.0814,-8.04e-06,0.08943999999999999
WE0_RE0_CE0,0.188,-0.08120000000000001,-0.08120000000000001,-8.02e-06,0.08922000000000001
WE0_RE0_CE0,0.19,-0.081,-0.081,-8e-06,0.089
WE0_RE0_CE0,0.192,-0.08080000000000001,-0.08080000000000001,-7.98e-06,0.08878000000000001
WE0_RE0_CE0,0.194,-0.0806,-0.0806,-7.96e-06,0.08856
