time_after_switch_s,effective_cell_V,capacitive_A,total_A
0.0,0.0,4.9999999999999996e-05,4.9999999999999996e-05
1e-05,0.0004975083125415947,4.95024916874584e-05,4.955224251871256e-05
2e-05,0.0009900663346622373,4.9009933665337756e-05,4.910894029880398e-05
3.0000000000000004e-05,0.0014777233225745923,4.85222766774254e-05,4.867004900968286e-05
4e-05,0.0019605280423838412,4.8039471957616155e-05,4.8235524761854536e-05
5e-05,0.0024385287749642995,4.75614712250357e-05,4.7805324102532125e-05
6.000000000000001e-05,0.0029117733207875644,4.708822667921243e-05,4.7379404011291186e-05
7.000000000000001e-05,0.0033803090047025866,4.661969099529741e-05,4.695772189576767e-05
8e-05,0.0038441826806682126,4.615581731933178e-05,4.654023558739861e-05
9e-05,0.004303440736438591,4.56965592635614e-05,4.612690333720526e-05
0.0001,0.0047581290982020245,4.5241870901797973e-05,4.571768381161818e-05
0.00011,0.005208293235173589,4.4791706764826404e-05,4.531253608834376e-05
0.00012000000000000002,0.005653978164142127,4.434602183585787e-05,4.4911419652272084e-05
0.00013000000000000002,0.006095228453971935,4.390477154602806e-05,4.4514294391425253e-05
0.00014000000000000001,0.0065320882300597075,4.346791176994029e-05,4.412112059294626e-05
0.00015000000000000001,0.00696460117874711,4.303539882125289e-05,4.37318589391276e-05
0.00016,0.007392810551689433,4.260718944831056e-05,4.334647050347951e-05
0.00017,0.007816759170180815,4.218324082981918e-05,4.296491674683726e-05
0.00018,0.008236489429436401,4.17635105705636e-05,4.258715951350724e-05
0.00019,0.008652043302831886,4.134795669716811e-05,4.22131610274513e-05
0.0002,0.00906346234610091,4.0936537653899086e-05,4.1842883888509175e-05
0.00021,0.009470787701490646,4.052921229850935e-05,4.1476291068658414e-05
0.00022,0.009874060101876076,4.012593989812392e-05,4.1113345908311534e-05
0.00023,0.010273319874833299,3.97266801251667e-05,4.075401211265003e-05
0.00024000000000000003,0.010668606946672333,3.9331393053327665e-05,4.03982537479949e-05
0.00025,0.011059960846429757,3.894003915357024e-05,4.0046035238213215e-05
